Quote,Author
It is the mark of an educated mind to be able to entertain a thought without accepting it.,Aristotle
"Good health is not something we can buy. However, it can be an extremely valuable savings account.",Anne Wilson Schaef
"Let us be grateful to people who make us happy, they are the charming gardeners who make our souls blossom.",Marcel Proust
"If the world seems cold to you, kindle fires to warm it.",Lucy Larcom
"Technology, like art, is a soaring exercise of the human imagination.",Daniel Bell
"The bedrock of our democracy is the rule of law and that means we have to have an independent judiciary, judges who can make decisions independent of the political winds that are blowing.",Caroline Kennedy
This nation will remain the land of the free only so long as it is the home of the brave.,Elmer Davis
Black and white are the colors of photography. To me they symbolize the alternatives of hope and despair to which mankind is forever subjected.,Robert Frank
"What a newspaper needs in its news, in its headlines, and on its editorial page is terseness, humor, descriptive power, satire, originality, good literary style, clever condensation, and accuracy, accuracy, accuracy!",Joseph Pulitzer
There is nothing new in the world except the history you do not know.,Harry S Truman
It takes considerable knowledge just to realize the extent of your own ignorance.,Thomas Sowell
"Love is friendship that has caught fire. It is quiet understanding, mutual confidence, sharing and forgiving. It is loyalty through good and bad times. It settles for less than perfection and makes allowances for human weaknesses.",Ann Landers
"When you have a dream, you've got to grab it and never let go.",Carol Burnett
You're only given a little spark of madness. You mustn't lose it.,Robin Williams
I was born with a fierce need for independence.,Michelle Williams
Going home and spending time with your family and your real friends keeps you grounded.,Jennifer Ellison
"You cannot hope to build a better world without improving the individuals. To that end, each of us must work for his own improvement and, at the same time, share a general responsibility for all humanity, our particular duty being to aid those to whom we think we can be most useful.",Marie Curie
Laughter is the closest distance between two people.,Victor Borge
All of us have a place in history. Mine is clouds.,Richard Brautigan
"Go to Heaven for the climate, Hell for the company.",Mark Twain
Let us sacrifice our today so that our children can have a better tomorrow.,A. P. J. Abdul Kalam
I saw the angel in the marble and carved until I set him free.,Michelangelo
"Simply by starting to cook again, you declare your independence from the culture of fast food. As soon as you cook, you start thinking about ingredients. You start thinking about plants and animals and not the microwave. And you will find that your diet, just by that one simple act, that is greatly improved.",Michael Pollan
"Everybody I know who is funny, it's in them. You can teach timing, or some people are able to tell a joke, though I don't like to tell jokes. But I think you have to be born with a sense of humor and a sense of timing.",Carol Burnett
"I came, I saw, I conquered.",Julius Caesar
"Most comedy is based on getting a laugh at somebody else's expense. And I find that that's just a form of bullying in a major way. So I want to be an example that you can be funny and be kind, and make people laugh without hurting somebody else's feelings.",Ellen DeGeneres
Start by doing what's necessary; then do what's possible; and suddenly you are doing the impossible.,Francis of Assisi
